S.N.,Voltage (Volts),Count 1,Count 2,Count 3,Count 4,Count 5,Mean per 30 sec,Mean per sec
1,300,0,0,0,0,0,0.0,0.0
2,325,0,0,0,0,0,0.0,0.0
3,350,226,262,550,773,772,516.6,17.220000000000002
4,375,776,918,871,849,881,859.0,28.633333333333333
5,400,882,860,820,716,820,819.6,27.32
6,425,870,895,890,880,866,880.2,29.34
7,450,915,882,797,876,880,870.0,29.0
8,475,865,839,871,882,872,865.8,28.86
9,500,867,871,859,898,857,870.4,29.013333333333332
10,525,887,900,882,904,877,890.0,29.666666666666668
11,550,890,858,852,908,854,872.4,29.08
12,575,977,894,909,884,915,915.8,30.526666666666664
13,600,887,920,887,868,836,879.6,29.32
14,625,860,875,942,895,864,887.2,29.573333333333334
15,650,906,877,826,866,879,870.8,29.026666666666664
16,675,872,866,903,872,841,870.8,29.026666666666664
17,700,886,883,898,918,891,895.2,29.84
18,725,954,879,922,853,878,897.2,29.90666666666667
19,750,860,878,862,821,863,856.8,28.56
20,775,907,833,865,925,894,884.8,29.493333333333332
21,800,967,867,869,893,890,897.2,29.90666666666667
